DER_TYPE,DER_INSTR,DER_RISK,DER_REP_CTY,DER_SECTOR_CPY,DER_CPC,DER_SECTOR_UDL,DER_CURR_LEG1,DER_CURR_LEG2,DER_ISSUE_MAT,DER_RATING,DER_EX_METHOD,DER_BASIS,AVAILABILITY,COLLECTION,TIME_PERIOD,OBS_VALUE
T,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,12381.0
T,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,10363.0
A,T,L,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,97640.002
A,T,L,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,122347.497
A,V,T,5J,M,5J,A,TO1,TO1,A,B,3,C,K,S,2021-S2,30487.0
A,V,T,5J,M,5J,A,TO1,TO1,A,B,3,C,K,S,2022-S1,31734.0
C,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,49581.909
C,V,T,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,66776.957
D,I,B,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,1041298.774
D,I,B,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,1805005.873
A,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,C,K,S,2021-S2,49463.0
A,W,T,5J,Z,5J,B,TO1,TO1,A,A,3,C,K,S,2022-S1,52089.0
A,D,B,5J,A,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,1384222.734
A,D,B,5J,A,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,1329177.884
D,S,B,5J,B,5J,A,GBP,TO1,A,A,3,A,K,S,2021-S2,1926.103
D,S,B,5J,B,5J,A,GBP,TO1,A,A,3,A,K,S,2022-S1,6424.756
S,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,E,2021-S2,2469151.87
S,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,E,2022-S1,2558099.333
D,R,B,5J,K,5J,A,TO1,CAD,A,A,3,C,K,S,2021-S2,1.733
D,R,B,5J,K,5J,A,TO1,CAD,A,A,3,C,K,S,2022-S1,21.108
S,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,4851.0
S,W,T,5J,N,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,6051.0
D,R,D,5J,K,5J,A,TO1,EUR,A,A,3,C,K,S,2021-S2,126.857
D,R,D,5J,K,5J,A,TO1,EUR,A,A,3,C,K,S,2022-S1,130.255
D,T,D,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2021-S2,159358.987
D,T,D,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2022-S1,257190.687
T,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,676290.0
T,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,634744.0
A,S,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,6827861.333
A,S,D,5J,B,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,7695216.58
A,D,B,5J,B,5J,A,EUR,TO1,A,A,3,C,K,S,2021-S2,5707897.764
A,D,B,5J,B,5J,A,EUR,TO1,A,A,3,C,K,S,2022-S1,5389346.046
D,S,D,5J,B,5J,A,TO1,CHF,A,A,3,A,K,S,2021-S2,252.358
D,S,D,5J,B,5J,A,TO1,CHF,A,A,3,A,K,S,2022-S1,378.662
A,T,E,5J,U,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,108399.111
A,T,E,5J,U,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,102180.105
D,R,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2021-S2,16888.834
D,R,E,5J,C,5P,A,TO1,TO1,A,A,3,C,K,S,2022-S1,19852.508
D,D,E,5J,B,5K,A,TO1,TO1,A,A,3,C,K,S,2021-S2,14719.151
D,D,E,5J,B,5K,A,TO1,TO1,A,A,3,C,K,S,2022-S1,17033.074
A,T,E,5J,A,5J,A,TO1,TO1,F,A,3,A,K,S,2021-S2,69339.224
A,T,E,5J,A,5J,A,TO1,TO1,F,A,3,A,K,S,2022-S1,71807.73
A,S,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2021-S2,511690.338
A,S,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2022-S1,560876.957
S,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,678472.0
S,U,T,5J,B,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,649839.0
A,L,D,5J,C,5J,A,TO1,CHF,A,A,3,C,K,S,2021-S2,4891592.082
A,L,D,5J,C,5J,A,TO1,CHF,A,A,3,C,K,S,2022-S1,3073967.678
A,V,T,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,3528550.198
A,V,T,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,3881594.121
D,A,D,5J,K,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,40296.097
D,A,D,5J,K,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,159968.38
A,I,B,5J,U,5J,A,GBP,TO1,A,A,3,C,K,S,2021-S2,593823.966
A,I,B,5J,U,5J,A,GBP,TO1,A,A,3,C,K,S,2022-S1,556292.609
A,S,E,5J,K,5K,A,TO1,TO1,A,A,3,A,K,S,2021-S2,938.506
A,S,E,5J,K,5K,A,TO1,TO1,A,A,3,A,K,S,2022-S1,436.987
A,I,B,5J,C,5J,A,USD,TO1,A,A,3,C,K,S,2021-S2,9717035.93
A,I,B,5J,C,5J,A,USD,TO1,A,A,3,C,K,S,2022-S1,9323959.493
Q,M,D,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,696.95
Q,M,D,5J,A,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,681.761
T,W,T,5J,M,5J,G,TO1,TO1,A,A,3,A,K,S,2021-S2,6008.0
T,W,T,5J,M,5J,G,TO1,TO1,A,A,3,A,K,S,2022-S1,6060.0
S,U,T,5J,A,5K,A,TO1,TO1,A,A,3,A,K,E,2021-S2,2179110.0
S,U,T,5J,A,5K,A,TO1,TO1,A,A,3,A,K,E,2022-S1,2288284.0
D,T,E,5J,B,5P,A,TO1,TO1,A,A,3,A,K,S,2021-S2,3601.256
D,T,E,5J,B,5P,A,TO1,TO1,A,A,3,A,K,S,2022-S1,5604.117
D,A,B,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,1150460.68
D,A,B,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,2272695.769
T,V,T,5J,A,5J,A,TO1,TO1,A,F,3,A,K,S,2021-S2,1290166.0
T,V,T,5J,A,5J,A,TO1,TO1,A,F,3,A,K,S,2022-S1,1243790.0
D,L,D,5J,C,5J,A,TO1,CAD,A,A,3,C,K,S,2021-S2,107946.728
D,L,D,5J,C,5J,A,TO1,CAD,A,A,3,C,K,S,2022-S1,330657.523
A,A,B,5J,B,5J,A,CAD,TO1,A,A,3,C,K,S,2021-S2,2191222.929
A,A,B,5J,B,5J,A,CAD,TO1,A,A,3,C,K,S,2022-S1,2391096.389
A,W,T,5J,C,5J,B,TO1,TO1,A,A,3,C,K,S,2021-S2,48990.092
A,W,T,5J,C,5J,B,TO1,TO1,A,A,3,C,K,S,2022-S1,51312.0
T,U,T,5J,A,5K,A,TO1,TO1,A,A,3,A,K,S,2021-S2,2052100.0
T,U,T,5J,A,5K,A,TO1,TO1,A,A,3,A,K,S,2022-S1,2195066.0
T,V,T,5J,B,5J,A,TO1,TO1,A,D,3,A,K,S,2021-S2,67628.0
T,V,T,5J,B,5J,A,TO1,TO1,A,D,3,A,K,S,2022-S1,66193.0
A,R,B,5J,K,5J,A,TO1,CHF,A,A,3,C,K,S,2021-S2,2161.395
A,R,B,5J,K,5J,A,TO1,CHF,A,A,3,C,K,S,2022-S1,6844.0
A,S,B,5J,B,5J,A,TO1,CAD,A,A,3,A,K,S,2021-S2,308399.92
A,S,B,5J,B,5J,A,TO1,CAD,A,A,3,A,K,S,2022-S1,332572.632
A,U,T,5J,O,5J,A,TO1,TO1,A,B,3,C,K,S,2021-S2,171835.0
A,U,T,5J,O,5J,A,TO1,TO1,A,B,3,C,K,S,2022-S1,157559.0
Q,C,B,5J,A,5J,A,EUR,TO1,A,A,3,A,K,S,2021-S2,480.627
Q,C,B,5J,A,5J,A,EUR,TO1,A,A,3,A,K,S,2022-S1,482.435
T,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,2246403.635
T,W,T,5J,C,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,2408850.12
S,V,T,5J,B,5J,A,TO1,TO1,A,D,3,A,K,E,2021-S2,68411.0
S,V,T,5J,B,5J,A,TO1,TO1,A,D,3,A,K,E,2022-S1,68240.0
A,V,T,5J,B,5J,A,TO1,TO1,A,H,3,C,K,S,2021-S2,160104.5
A,V,T,5J,B,5J,A,TO1,TO1,A,H,3,C,K,S,2022-S1,150797.5
A,A,B,5J,K,5J,A,TO1,JPY,A,A,3,C,K,S,2021-S2,3120.463
A,A,B,5J,K,5J,A,TO1,JPY,A,A,3,C,K,S,2022-S1,10971.318
A,U,T,5J,K,5J,A,TO1,TO1,A,H,3,C,K,S,2021-S2,1124359.0
A,U,T,5J,K,5J,A,TO1,TO1,A,H,3,C,K,S,2022-S1,1347661.0
A,A,D,5J,A,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,5483633.655
A,A,D,5J,A,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,5812029.438
D,N,D,5J,A,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,44725.164
D,N,D,5J,A,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,147222.176
A,M,D,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2021-S2,80144.329
A,M,D,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2022-S1,4119.0
A,S,E,5J,A,5U,A,TO1,TO1,A,A,3,A,K,S,2021-S2,50258.87
A,S,E,5J,A,5U,A,TO1,TO1,A,A,3,A,K,S,2022-S1,45101.542
Q,N,D,5J,A,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,417.242
Q,N,D,5J,A,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,446.944
A,T,D,5J,K,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,5562.994
A,T,D,5J,K,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,7151.547
D,D,B,5J,C,5J,A,TO1,USD,A,A,3,C,K,S,2021-S2,590710.707
D,D,B,5J,C,5J,A,TO1,USD,A,A,3,C,K,S,2022-S1,1227871.958
A,U,T,5J,B,US,A,TO1,TO1,A,A,3,C,K,S,2021-S2,130546.0
A,U,T,5J,B,US,A,TO1,TO1,A,A,3,C,K,S,2022-S1,119634.5
F,U,T,5J,P,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,6967.0
F,U,T,5J,P,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,4583.0
D,R,B,5J,U,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,381.248
D,R,B,5J,U,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,1954.694
A,T,B,5J,A,5J,A,CHF,TO1,A,A,3,A,K,S,2021-S2,317459.581
A,T,B,5J,A,5J,A,CHF,TO1,A,A,3,A,K,S,2022-S1,420048.209
A,S,B,5J,B,5J,A,TO1,TO1,D,A,3,A,K,S,2021-S2,590961.535
A,S,B,5J,B,5J,A,TO1,TO1,D,A,3,A,K,S,2022-S1,576299.689
A,C,E,5J,C,5J,A,TO1,TO1,D,A,3,C,K,S,2021-S2,941256.29
A,C,E,5J,C,5J,A,TO1,TO1,D,A,3,C,K,S,2022-S1,772292.807
A,R,D,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,17419570.536
A,R,D,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,16969751.577
S,U,T,5J,C,5J,A,TO1,TO1,U,A,3,A,K,E,2021-S2,491793.0
S,U,T,5J,C,5J,A,TO1,TO1,U,A,3,A,K,E,2022-S1,485495.0
D,A,B,5J,K,5J,A,TO1,GBP,A,A,3,C,K,S,2021-S2,1935.202
D,A,B,5J,K,5J,A,TO1,GBP,A,A,3,C,K,S,2022-S1,3980.249
A,S,D,5J,K,5J,A,TO1,TO1,U,A,3,A,K,S,2021-S2,4700.584
A,S,D,5J,K,5J,A,TO1,TO1,U,A,3,A,K,S,2022-S1,2237.334
A,A,D,5J,B,5J,A,TO1,USD,A,A,3,C,K,S,2021-S2,12642226.625
A,A,D,5J,B,5J,A,TO1,USD,A,A,3,C,K,S,2022-S1,13520928.337
S,W,T,5J,A,5J,A,TO1,TO1,A,B,3,A,K,E,2021-S2,1155428.0
S,W,T,5J,A,5J,A,TO1,TO1,A,B,3,A,K,E,2022-S1,1200133.0
T,W,T,5J,A,5J,A,TO1,TO1,A,B,3,A,K,S,2021-S2,1041443.0
T,W,T,5J,A,5J,A,TO1,TO1,A,B,3,A,K,S,2022-S1,1121591.0
D,A,C,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,2565372.159
D,A,C,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,4742265.595
E,U,T,5J,P,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,6552.0
E,U,T,5J,P,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,8220.0
S,U,T,5J,K,5J,A,TO1,TO1,A,D,3,A,K,E,2021-S2,106945.0
S,U,T,5J,K,5J,A,TO1,TO1,A,D,3,A,K,E,2022-S1,130038.0
S,V,T,5J,A,5J,A,TO1,TO1,A,F,3,A,K,E,2021-S2,1340727.0
S,V,T,5J,A,5J,A,TO1,TO1,A,F,3,A,K,E,2022-S1,1290709.0
A,T,B,5J,B,5J,A,SEK,TO1,A,A,3,A,K,S,2021-S2,21023.023
A,T,B,5J,B,5J,A,SEK,TO1,A,A,3,A,K,S,2022-S1,31489.236
A,R,D,5J,K,5J,A,TO1,GBP,A,A,3,C,K,S,2017-S1,55007.0
A,R,D,5J,K,5J,A,TO1,GBP,A,A,3,C,K,S,2017-S2,87469.0
A,S,D,5J,K,5J,A,GBP,TO1,A,A,3,A,K,S,2017-S1,26810.0
A,S,D,5J,K,5J,A,GBP,TO1,A,A,3,A,K,S,2017-S2,43074.0
A,V,T,5J,P,5J,F,TO1,TO1,A,A,3,C,K,S,2021-S2,50647.0
A,V,T,5J,P,5J,F,TO1,TO1,A,A,3,C,K,S,2022-S1,48315.0
D,T,B,5J,U,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,6283.59
D,T,B,5J,U,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,16169.145
A,T,D,5J,K,5J,A,JPY,TO1,A,A,3,A,K,S,2021-S2,
A,T,D,5J,K,5J,A,JPY,TO1,A,A,3,A,K,S,2022-S1,118.0
A,U,T,5J,C,5J,A,TO1,TO1,D,A,3,C,K,S,2021-S2,5827143.0
A,U,T,5J,C,5J,A,TO1,TO1,D,A,3,C,K,S,2022-S1,6158808.0
D,D,B,5J,A,5J,A,TO1,JPY,A,A,3,C,K,S,2021-S2,226190.026
D,D,B,5J,A,5J,A,TO1,JPY,A,A,3,C,K,S,2022-S1,488227.2
Q,M,D,5J,Z,5J,A,CHF,TO1,A,A,3,A,K,S,2021-S2,4396.878
Q,M,D,5J,Z,5J,A,CHF,TO1,A,A,3,A,K,S,2022-S1,4695.609
S,U,T,5J,Z,5Z,A,TO1,TO1,A,A,3,A,K,E,2021-S2,2829032.0
S,U,T,5J,Z,5Z,A,TO1,TO1,A,A,3,A,K,E,2022-S1,2846138.0
D,I,B,5J,C,5J,A,CHF,TO1,A,A,3,C,K,S,2021-S2,17051.917
D,I,B,5J,C,5J,A,CHF,TO1,A,A,3,C,K,S,2022-S1,20457.451
T,U,T,5J,K,5J,A,TO1,TO1,A,D,3,A,K,S,2021-S2,119610.0
T,U,T,5J,K,5J,A,TO1,TO1,A,D,3,A,K,S,2022-S1,136757.0
A,W,T,5J,Z,5J,A,TO1,TO1,A,Z,3,C,K,S,2021-S2,1624443.0
A,W,T,5J,Z,5J,A,TO1,TO1,A,Z,3,C,K,S,2022-S1,1487560.0
Q,N,D,5J,Z,5J,A,CAD,TO1,A,A,3,A,K,S,2021-S2,1364.669
Q,N,D,5J,Z,5J,A,CAD,TO1,A,A,3,A,K,S,2022-S1,1391.294
D,R,D,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,586.907
D,R,D,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,1982.294
D,W,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,102642.477
D,W,T,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,81935.855
A,R,B,5J,B,5J,A,TO1,JPY,A,A,3,C,K,S,2021-S2,931208.766
A,R,B,5J,B,5J,A,TO1,JPY,A,A,3,C,K,S,2022-S1,1129165.969
A,A,B,5J,U,5J,A,TO1,USD,A,A,3,C,K,S,2021-S2,9846895.907
A,A,B,5J,U,5J,A,TO1,USD,A,A,3,C,K,S,2022-S1,10553631.642
A,U,T,5J,P,5J,J,TO1,TO1,A,A,3,C,K,S,2021-S2,326113.0
A,U,T,5J,P,5J,J,TO1,TO1,A,A,3,C,K,S,2022-S1,159941.0
Q,C,B,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2021-S2,486.24
Q,C,B,5J,A,5J,A,USD,TO1,A,A,3,A,K,S,2022-S1,491.47
T,U,T,5J,C,5J,A,TO1,TO1,U,A,3,A,K,S,2021-S2,467644.0
T,U,T,5J,C,5J,A,TO1,TO1,U,A,3,A,K,S,2022-S1,457299.0
A,S,D,5J,U,5J,A,TO1,JPY,A,A,3,A,K,S,2021-S2,18351.454
A,S,D,5J,U,5J,A,TO1,JPY,A,A,3,A,K,S,2022-S1,18601.868
T,U,T,5J,Z,5Z,A,TO1,TO1,A,A,3,A,K,S,2021-S2,2587097.0
T,U,T,5J,Z,5Z,A,TO1,TO1,A,A,3,A,K,S,2022-S1,2650358.0
D,T,B,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2021-S2,1162.855
D,T,B,5J,C,5J,A,TO1,CHF,A,A,3,A,K,S,2022-S1,1910.432
S,W,T,5J,U,5J,N,TO1,TO1,A,A,3,A,K,E,2021-S2,16366.0
S,W,T,5J,U,5J,N,TO1,TO1,A,A,3,A,K,E,2022-S1,18972.0
A,S,E,5J,U,5J,A,TO1,TO1,U,A,3,A,K,S,2021-S2,143999.263
A,S,E,5J,U,5J,A,TO1,TO1,U,A,3,A,K,S,2022-S1,163559.86
A,M,D,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,39438152.65
A,M,D,5J,A,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,49357885.454
D,C,B,5J,C,5J,A,TO1,EUR,A,A,3,C,K,S,2021-S2,370949.924
D,C,B,5J,C,5J,A,TO1,EUR,A,A,3,C,K,S,2022-S1,805408.67
D,S,E,5J,B,JP,A,TO1,TO1,A,A,3,A,K,S,2021-S2,2451.503
D,S,E,5J,B,JP,A,TO1,TO1,A,A,3,A,K,S,2022-S1,1417.146
T,W,T,5J,U,5J,N,TO1,TO1,A,A,3,A,K,S,2021-S2,13707.0
T,W,T,5J,U,5J,N,TO1,TO1,A,A,3,A,K,S,2022-S1,13586.0
D,S,D,5J,A,5J,A,CHF,TO1,A,A,3,A,K,S,2021-S2,993.477
D,S,D,5J,A,5J,A,CHF,TO1,A,A,3,A,K,S,2022-S1,806.595
A,T,B,5J,C,5J,A,TO1,EUR,A,A,3,A,K,S,2021-S2,727324.476
A,T,B,5J,C,5J,A,TO1,EUR,A,A,3,A,K,S,2022-S1,846465.229
D,R,B,5J,C,5J,A,JPY,TO1,A,A,3,C,K,S,2021-S2,11506.669
D,R,B,5J,C,5J,A,JPY,TO1,A,A,3,C,K,S,2022-S1,30192.305
D,T,E,5J,U,US,A,TO1,TO1,A,A,3,A,K,S,2021-S2,40165.075
D,T,E,5J,U,US,A,TO1,TO1,A,A,3,A,K,S,2022-S1,25764.941
A,N,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2021-S2,13550663.987
A,N,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2022-S1,15503273.622
Q,R,B,5J,Z,5J,A,SEK,TO1,A,A,3,A,K,S,2021-S2,1046.607
Q,R,B,5J,Z,5J,A,SEK,TO1,A,A,3,A,K,S,2022-S1,1161.809
A,U,T,5J,K,5J,M,TO1,TO1,A,A,3,C,K,S,2021-S2,28176.0
A,U,T,5J,K,5J,M,TO1,TO1,A,A,3,C,K,S,2022-S1,37171.0
D,S,D,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,737.782
D,S,D,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,1710.397
S,W,T,5J,M,5J,L,TO1,TO1,A,A,3,A,K,E,2021-S2,337.0
S,W,T,5J,M,5J,L,TO1,TO1,A,A,3,A,K,E,2022-S1,676.0
A,S,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2021-S2,929296.64
A,S,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2022-S1,1112690.354
S,V,T,5J,N,5J,A,TO1,TO1,A,F,3,A,K,E,2021-S2,19676.0
S,V,T,5J,N,5J,A,TO1,TO1,A,F,3,A,K,E,2022-S1,18494.0
Q,R,D,5J,Z,5J,A,TO1,TO1,A,A,3,A,K,S,2021-S2,774.12
Q,R,D,5J,Z,5J,A,TO1,TO1,A,A,3,A,K,S,2022-S1,715.161
T,W,T,5J,M,5J,L,TO1,TO1,A,A,3,A,K,S,2021-S2,174.0
T,W,T,5J,M,5J,L,TO1,TO1,A,A,3,A,K,S,2022-S1,112.0
D,N,D,5J,B,5J,A,TO1,USD,A,A,3,C,K,S,2021-S2,280732.782
D,N,D,5J,B,5J,A,TO1,USD,A,A,3,C,K,S,2022-S1,177917.302
S,W,T,5J,O,5J,J,TO1,TO1,A,A,3,A,K,E,2021-S2,102477.0
S,W,T,5J,O,5J,J,TO1,TO1,A,A,3,A,K,E,2022-S1,107430.0
A,T,D,5J,C,5J,A,TO1,JPY,A,A,3,A,K,S,2021-S2,99840.586
A,T,D,5J,C,5J,A,TO1,JPY,A,A,3,A,K,S,2022-S1,107114.0
T,V,T,5J,N,5J,A,TO1,TO1,A,F,3,A,K,S,2021-S2,2755.0
T,V,T,5J,N,5J,A,TO1,TO1,A,F,3,A,K,S,2022-S1,2861.0
D,T,D,5J,A,5J,A,EUR,TO1,A,A,3,A,K,S,2021-S2,256577.961
D,T,D,5J,A,5J,A,EUR,TO1,A,A,3,A,K,S,2022-S1,249487.717
A,W,T,5J,C,5J,A,TO1,TO1,A,Z,3,C,K,S,2021-S2,1611055.0
A,W,T,5J,C,5J,A,TO1,TO1,A,Z,3,C,K,S,2022-S1,1467876.0
A,T,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,699254.376
A,T,D,5J,B,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,566940.097
D,T,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2021-S2,26280.022
D,T,B,5J,B,5J,A,JPY,TO1,A,A,3,A,K,S,2022-S1,47704.74
S,U,T,5J,B,5J,F,TO1,TO1,A,A,3,A,K,E,2021-S2,245148.0
S,U,T,5J,B,5J,F,TO1,TO1,A,A,3,A,K,E,2022-S1,237182.0
T,U,T,5J,B,5J,F,TO1,TO1,A,A,3,A,K,S,2021-S2,254661.0
T,U,T,5J,B,5J,F,TO1,TO1,A,A,3,A,K,S,2022-S1,241530.0
D,C,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2021-S2,19078.978
D,C,B,5J,B,5J,A,TO1,SEK,A,A,3,C,K,S,2022-S1,43114.534
D,T,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2021-S2,3307.491
D,T,B,5J,A,5J,A,CAD,TO1,A,A,3,A,K,S,2022-S1,4216.507
S,V,T,5J,L,5J,A,TO1,TO1,F,A,3,A,K,E,2021-S2,22086.0
S,V,T,5J,L,5J,A,TO1,TO1,F,A,3,A,K,E,2022-S1,23340.0
S,W,T,5J,O,5J,A,TO1,TO1,F,A,3,A,K,E,2021-S2,10624.0
S,W,T,5J,O,5J,A,TO1,TO1,F,A,3,A,K,E,2022-S1,11925.0
A,C,B,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,48476298.496
A,C,B,5J,C,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,48807220.898
D,I,B,5J,U,5J,A,EUR,TO1,A,A,3,C,K,S,2021-S2,98081.956
D,I,B,5J,U,5J,A,EUR,TO1,A,A,3,C,K,S,2022-S1,187000.874
D,L,D,5J,U,5J,A,SEK,TO1,A,A,3,C,K,S,2021-S2,2261.434
D,L,D,5J,U,5J,A,SEK,TO1,A,A,3,C,K,S,2022-S1,8073.002
T,U,T,5J,P,5J,A,TO1,TO1,A,Z,3,A,K,S,2021-S2,56747.0
T,U,T,5J,P,5J,A,TO1,TO1,A,Z,3,A,K,S,2022-S1,69966.0
T,U,T,5J,M,5J,C,TO1,TO1,A,A,3,A,K,S,2021-S2,44452.118
T,U,T,5J,M,5J,C,TO1,TO1,A,A,3,A,K,S,2022-S1,44701.416
T,W,T,5J,O,5J,J,TO1,TO1,A,A,3,A,K,S,2021-S2,81717.0
T,W,T,5J,O,5J,J,TO1,TO1,A,A,3,A,K,S,2022-S1,76745.0
A,T,B,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2021-S2,53542.396
A,T,B,5J,U,5J,A,TO1,GBP,A,A,3,A,K,S,2022-S1,58824.847
D,I,B,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2021-S2,20.684
D,I,B,5J,K,5J,A,CHF,TO1,A,A,3,C,K,S,2022-S1,12.134
D,M,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2021-S2,32.067
D,M,D,5J,K,5J,A,CAD,TO1,A,A,3,C,K,S,2022-S1,93.147
D,R,B,5J,B,5J,A,TO1,GBP,A,A,3,C,K,S,2021-S2,2133.786
D,R,B,5J,B,5J,A,TO1,GBP,A,A,3,C,K,S,2022-S1,6040.527
A,D,E,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,14632.143
A,D,E,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,25608.986
A,V,T,5J,K,5J,G,TO1,TO1,A,A,3,C,K,S,2021-S2,1011449.0
A,V,T,5J,K,5J,G,TO1,TO1,A,A,3,C,K,S,2022-S1,1034637.0
D,D,B,5J,U,5J,A,GBP,TO1,A,A,3,C,K,S,2021-S2,20705.802
D,D,B,5J,U,5J,A,GBP,TO1,A,A,3,C,K,S,2022-S1,36094.246
D,W,T,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2021-S2,64321.355
D,W,T,5J,K,5J,A,TO1,TO1,A,A,3,C,K,S,2022-S1,49081.786
S,W,T,5J,U,5J,B,TO1,TO1,A,A,3,A,K,E,2021-S2,397.0
S,W,T,5J,U,5J,B,TO1,TO1,A,A,3,A,K,E,2022-S1,607.0
S,U,T,5J,M,5J,C,TO1,TO1,A,A,3,A,K,E,2021-S2,47377.22
S,U,T,5J,M,5J,C,TO1,TO1,A,A,3,A,K,E,2022-S1,48832.557
D,T,B,5J,B,5J,A,TO1,CAD,A,A,3,A,K,S,2021-S2,1697.751
